code,name
1332,NISSUI
1605,INPEX
1721,COMSYS HOLDINGS
1801,TAISEI
1802,OBAYASHI
1803,SHIMIZU
1808,HASEKO
1812,KAJIMA
1925,DAIWA HOUSE INDUSTRY
1928,SEKISUI HOUSE
1963,JGC HOLDINGS
2002,NISSHIN SEIFUN GROUP
2269,MEIJI HOLDINGS
2282,NH FOODS
2413,M3
2432,DENA
2501,SAPPORO HOLDINGS
2502,ASAHI GROUP HOLDINGS
2503,KIRIN HOLDINGS COMPANY
2531,TAKARA HOLDINGS
2768,SOJITZ
2801,KIKKOMAN
2802,AJINOMOTO
2871,NICHIREI
2914,JAPAN TOBACCO
3086,J FRONT RETAILING
3099,ISETAN MITSUKOSHI HOLDINGS
3289,TOKYU FUDOSAN HOLDINGS
3382,SEVEN I HOLDINGS
3401,TEIJIN
3402,TORAY INDUSTRIES
3405,KURARAY
3407,ASAHI KASEI
3436,SUMCO
3659,NEXON
3861,OJI HOLDINGS
3863,NIPPON PAPER INDUSTRIES
4004,RESONAC HOLDINGS
4005,SUMITOMO CHEMICAL COMPANY
4021,NISSAN CHEMICAL
4042,TOSOH
4043,TOKUYAMA
4061,DENKA COMPANY
4063,SHIN ETSU CHEMICAL
4151,KYOWA KIRIN
4183,MITSUI CHEMICALS
4188,MITSUBISHI CHEMICAL GROUP
4208,UBE
4324,DENTSU GROUP
4452,KAO
4502,TAKEDA PHARMACEUTICAL COMPANY
4503,ASTELLAS PHARMA
4506,SUMITOMO PHARMA
4507,SHIONOGI
4519,CHUGAI PHARMACEUTICAL
4523,EISAI
4543,TERUMO
4568,DAIICHI SANKYO COMPANY
4578,OTSUKA HOLDINGS
4631,DIC
4661,ORIENTAL LAND
4689,LY
4704,TREND MICRO
4751,CYBERAGENT
4755,RAKUTEN GROUP
4901,FUJIFILM HOLDINGS
4902,KONICA MINOLTA
4911,SHISEIDO COMPANY
5019,IDEMITSU KOSAN
5020,ENEOS HOLDINGS
5101,THE YOKOHAMA RUBBER COMPANY
5108,BRIDGESTONE
5201,AGC
5202,NIPPON SHEET GLASS COMPANY
5214,NIPPON ELECTRIC GLASS
5232,SUMITOMO OSAKA CEMENT
5233,TAIHEIYO CEMENT
5301,TOKAI CARBON
5332,TOTO
5333,NGK INSULATORS
5401,NIPPON STEEL
5406,KOBE STEEL
5411,JFE HOLDINGS
5541,PACIFIC METALS
5631,THE JAPAN STEEL WORKS
5706,MITSUI KINZOKU COMPANY
5711,MITSUBISHI MATERIALS
5713,SUMITOMO METAL MINING
5714,DOWA HOLDINGS
5801,FURUKAWA ELECTRIC
5802,SUMITOMO ELECTRIC INDUSTRIES
5803,FUJIKURA
5831,SHIZUOKA FINANCIAL GROUP
6098,RECRUIT HOLDINGS
6103,OKUMA
6113,AMADA
6178,JAPAN POST HOLDINGS
6273,SMC
6301,KOMATSU
6302,SUMITOMO HEAVY INDUSTRIES
6305,HITACHI CONSTRUCTION MACHINERY
6326,KUBOTA
6361,EBARA
6367,DAIKIN INDUSTRIES
6471,NSK
6472,NTN
6473,JTEKT
6479,MINEBEA MITSUMI
6501,HITACHI
6503,MITSUBISHI ELECTRIC
6504,FUJI ELECTRIC
6506,YASKAWA ELECTRIC
6594,NIDEC
6645,OMRON
6674,GS YUASA
6701,NEC
6702,FUJITSU
6723,RENESAS ELECTRONICS
6724,SEIKO EPSON
6752,PANASONIC HOLDINGS
6753,SHARP
6758,SONY GROUP
6762,TDK
6770,ALPS ALPINE
6841,YOKOGAWA ELECTRIC
6857,ADVANTEST
6861,KEYENCE
6902,DENSO
6952,CASIO COMPUTER
6954,FANUC
6971,KYOCERA
6976,TAIYO YUDEN
6981,MURATA MANUFACTURING
6988,NITTO DENKO
7003,MITSUI E S
7004,KANADEVIA
7011,MITSUBISHI HEAVY INDUSTRIES
7012,KAWASAKI HEAVY INDUSTRIES
7013,IHI
7186,YOKOHAMA FINANCIAL GROUP
7201,NISSAN MOTOR
7202,ISUZU MOTORS
7203,TOYOTA MOTOR
7205,HINO MOTORS
7211,MITSUBISHI MOTORS
7261,MAZDA MOTOR
7267,HONDA MOTOR
7269,SUZUKI MOTOR
7270,SUBARU
7272,YAMAHA MOTOR
7731,NIKON
7733,OLYMPUS
7735,SCREEN HOLDINGS
7741,HOYA
7751,CANON
7752,RICOH COMPANY
7762,CITIZEN WATCH
7832,BANDAI NAMCO HOLDINGS
7911,TOPPAN HOLDINGS
7912,DAI NIPPON PRINTING
7951,YAMAHA
7974,NINTENDO
8001,ITOCHU
8002,MARUBENI
8015,TOYOTA TSUSHO
8031,MITSUI
8035,TOKYO ELECTRON
8053,SUMITOMO SUMITOMO SHOJI KAISHA
8058,MITSUBISHI
8233,TAKASHIMAYA COMPANY
8252,MARUI GROUP
8253,CREDIT SAISON
8267,AEON
8304,AOZORA BANK
8306,MITSUBISHI UFJ FINANCIAL GROUP
8308,RESONA HOLDINGS
8309,SUMITOMO MITSUI TRUST GROUP
8316,SUMITOMO MITSUI FINANCIAL GROUP
8331,THE CHIBA BANK
8354,FUKUOKA FINANCIAL GROUP
8411,MIZUHO FINANCIAL GROUP
8591,ORIX
8601,DAIWA SECURITIES GROUP
8604,NOMURA HOLDINGS
8628,MATSUI SECURITIES
8630,SOMPO HOLDINGS
8697,JAPAN EXCHANGE GROUP
8725,MS AD INSURANCE GROUP HOLDINGS
8750,DAI ICHI LIFE HOLDINGS
8766,TOKIO MARINE HOLDINGS
8795,T D HOLDINGS
8801,MITSUI FUDOSAN
8802,MITSUBISHI ESTATE COMPANY
8804,TOKYO TATEMONO
8830,SUMITOMO REALTY DEVELOPMENT
9001,TOBU RAILWAY
9005,TOKYU
9007,ODAKYU ELECTRIC RAILWAY
9008,KEIO
9009,KEISEI ELECTRIC RAILWAY
9020,EAST JAPAN RAILWAY COMPANY
9021,WEST JAPAN RAILWAY COMPANY
9022,CENTRAL JAPAN RAILWAY COMPANY
9064,YAMATO HOLDINGS
9101,NIPPON YUSEN KABUSHIKI KAISHA
9104,MITSUI O S K LINES
9107,KAWASAKI KISEN KAISHA
9147,NIPPON EXPRESS HOLDINGS
9201,JAPAN AIRLINES
9202,ANA HOLDINGS
9301,MITSUBISHI LOGISTICS
9432,NTT
9433,KDDI
9434,SOFTBANK
9501,TOKYO ELECTRIC POWER COMPANY HOLDINGS
9502,CHUBU ELECTRIC POWER COMPANY
9503,THE KANSAI ELECTRIC POWER COMPANY
9531,TOKYO GAS
9532,OSAKA GAS
9602,TOHO
9735,SECOM
9766,KONAMI GROUP
9983,FAST RETAILING
9984,SOFTBANK GROUP
